,strict_matched,naive_swap,delta,se,p_value,significant,n_pairs
PairAcc,0.8263736263736263,0.816849816849817,0.009523809523809379,0.0029740793089258234,0.0002,True,455
StrictPairAcc,0.8295238095238094,0.8171428571428572,0.01238095238095227,0.0033527365395829836,0.0,True,350
